item_id,order_id,customer_id,product_id,product_name,category,quantity,unit_price,discount_percent,discount_amount,final_price,total_amount,revenue,order_date,order_status
ITEM000079,ORD00040,CUST0016,P017,Milton Thermosteel Flask,Home & Kitchen,2,699,0,0.0,699.0,1398.0,1398.0,2024-10-11,Delivered
ITEM000080,ORD00040,CUST0016,P042,Fisher Price Baby Gym,Toys,1,1799,0,0.0,1799.0,1799.0,1799.0,2024-10-11,Delivered
ITEM000081,ORD00041,CUST0879,P007,Fire-Boltt Ninja Watch,Electronics,1,1999,10,199.9,1799.1,1799.1,1799.1,2025-07-02,Delivered
ITEM000082,ORD00042,CUST0424,P007,Fire-Boltt Ninja Watch,Electronics,2,1999,15,299.85,1699.15,3398.3,3398.3,2024-08-12,Processing
ITEM000083,ORD00042,CUST0424,P025,Cosco Cricket Kit,Sports,1,2999,15,449.85,2549.15,2549.15,2549.15,2024-08-12,Processing
ITEM000084,ORD00042,CUST0424,P027,Boldfit Yoga Mat,Sports,3,799,15,119.85,679.15,2037.45,2037.45,2024-08-12,Processing
ITEM000085,ORD00042,CUST0424,P016,Philips HL7756 Mixer,Home & Kitchen,3,2799,15,419.85,2379.15,7137.45,7137.45,2024-08-12,Processing
ITEM000086,ORD00043,CUST0505,P024,Camlin Color Kit,Books,1,349,10,34.9,314.1,314.1,314.1,2023-01-28,Delivered
ITEM000087,ORD00043,CUST0505,P021,Data Science Handbook,Books,1,899,10,89.9,809.1,809.1,809.1,2023-01-28,Delivered
ITEM000088,ORD00044,CUST0599,P041,Funskool Lego Set,Toys,1,999,0,0.0,999.0,999.0,999.0,2023-10-25,Delivered
ITEM000089,ORD00045,CUST0411,P025,Cosco Cricket Kit,Sports,1,2999,0,0.0,2999.0,2999.0,2999.0,2025-11-13,Delivered
ITEM000090,ORD00045,CUST0411,P010,Levis Men Jeans 511,Clothing,1,2499,0,0.0,2499.0,2499.0,2499.0,2025-11-13,Delivered
ITEM000091,ORD00046,CUST0697,P007,Fire-Boltt Ninja Watch,Electronics,1,1999,5,99.95,1899.05,1899.05,1899.05,2025-03-11,Delivered
ITEM000092,ORD00047,CUST0662,P034,Aashirvaad Atta 5kg,Grocery,1,249,0,0.0,249.0,249.0,249.0,2023-02-08,Delivered
ITEM000093,ORD00047,CUST0662,P028,Prokyde Badminton Racket,Sports,1,599,0,0.0,599.0,599.0,599.0,2023-02-08,Delivered
ITEM000094,ORD00048,CUST0936,P027,Boldfit Yoga Mat,Sports,2,799,5,39.95,759.05,1518.1,1518.1,2024-10-15,Delivered
ITEM000095,ORD00048,CUST0936,P048,Patanjali Ashwagandha,Health,1,199,5,9.95,189.05,189.05,189.05,2024-10-15,Delivered
ITEM000096,ORD00048,CUST0936,P003,boAt Rockerz 450,Electronics,1,1499,5,74.95,1424.05,1424.05,1424.05,2024-10-15,Delivered
ITEM000097,ORD00048,CUST0936,P043,Nilkamal Plastic Chair,Furniture,1,899,5,44.95,854.05,854.05,854.05,2024-10-15,Delivered
ITEM000098,ORD00049,CUST0808,P002,Realme Narzo 60,Electronics,1,12999,0,0.0,12999.0,12999.0,12999.0,2025-03-05,Delivered
ITEM000099,ORD00050,CUST0504,P040,Catwalk Women Heels,Footwear,1,1499,0,0.0,1499.0,1499.0,1499.0,2023-11-13,Processing
ITEM000100,ORD00051,CUST0057,P041,Funskool Lego Set,Toys,1,999,0,0.0,999.0,999.0,999.0,2025-01-17,Delivered
ITEM000101,ORD00052,CUST0217,P047,Dabur Chyawanprash 1kg,Health,3,349,5,17.45,331.55,994.65,994.65,2024-12-08,Delivered
ITEM000102,ORD00052,CUST0217,P025,Cosco Cricket Kit,Sports,1,2999,5,149.95,2849.05,2849.05,2849.05,2024-12-08,Delivered
ITEM000103,ORD00052,CUST0217,P009,Allen Solly Men Shirt,Clothing,3,1299,5,64.95,1234.05,3702.15,3702.15,2024-12-08,Delivered
ITEM000104,ORD00053,CUST0178,P041,Funskool Lego Set,Toys,1,999,0,0.0,999.0,999.0,999.0,2023-09-02,Processing
ITEM000105,ORD00054,CUST0788,P021,Data Science Handbook,Books,2,899,0,0.0,899.0,1798.0,1798.0,2025-08-09,Shipped
ITEM000106,ORD00054,CUST0788,P031,Himalaya Face Wash,Beauty,1,179,0,0.0,179.0,179.0,179.0,2025-08-09,Shipped
ITEM000107,ORD00055,CUST0717,P005,HP 15s Laptop,Electronics,1,45999,5,2299.95,43699.05,43699.05,43699.05,2024-04-21,Delivered
ITEM000108,ORD00055,CUST0717,P028,Prokyde Badminton Racket,Sports,1,599,5,29.95,569.05,569.05,569.05,2024-04-21,Delivered
ITEM000109,ORD00055,CUST0717,P023,Classmate Notebook Pack,Books,1,199,5,9.95,189.05,189.05,189.05,2024-04-21,Delivered
ITEM000110,ORD00056,CUST0649,P014,HRX Sports Tracksuit,Clothing,2,1799,5,89.95,1709.05,3418.1,3418.1,2024-10-12,Cancelled
ITEM000111,ORD00057,CUST0873,P023,Classmate Notebook Pack,Books,2,199,10,19.9,179.1,358.2,358.2,2024-06-10,Cancelled
ITEM000112,ORD00057,CUST0873,P018,Cello Plastic Storage Set,Home & Kitchen,2,499,10,49.9,449.1,898.2,898.2,2024-06-10,Cancelled
ITEM000113,ORD00058,CUST0956,P005,HP 15s Laptop,Electronics,2,45999,10,4599.9,41399.1,82798.2,82798.2,2024-06-01,Processing
ITEM000114,ORD00059,CUST0149,P001,Samsung Galaxy M34,Electronics,1,18999,0,0.0,18999.0,18999.0,18999.0,2024-01-10,Delivered
ITEM000115,ORD00059,CUST0149,P044,Pepperfry Wall Clock,Furniture,1,599,0,0.0,599.0,599.0,599.0,2024-01-10,Delivered
ITEM000116,ORD00060,CUST0925,P002,Realme Narzo 60,Electronics,1,12999,0,0.0,12999.0,12999.0,12999.0,2024-07-13,Cancelled
ITEM000117,ORD00060,CUST0925,P011,W Women Kurta Set,Clothing,1,1599,0,0.0,1599.0,1599.0,1599.0,2024-07-13,Cancelled
ITEM000118,ORD00061,CUST0117,P041,Funskool Lego Set,Toys,1,999,0,0.0,999.0,999.0,999.0,2024-07-14,Cancelled
ITEM000119,ORD00061,CUST0117,P048,Patanjali Ashwagandha,Health,1,199,0,0.0,199.0,199.0,199.0,2024-07-14,Cancelled
ITEM000120,ORD00061,CUST0117,P002,Realme Narzo 60,Electronics,1,12999,0,0.0,12999.0,12999.0,12999.0,2024-07-14,Cancelled
ITEM000121,ORD00061,CUST0117,P028,Prokyde Badminton Racket,Sports,1,599,0,0.0,599.0,599.0,599.0,2024-07-14,Cancelled
ITEM000122,ORD00062,CUST0577,P013,Jockey Men T-Shirt,Clothing,2,599,5,29.95,569.05,1138.1,1138.1,2025-11-10,Cancelled
ITEM000123,ORD00063,CUST0806,P006,Lenovo IdeaPad Slim,Electronics,1,38999,5,1949.95,37049.05,37049.05,37049.05,2023-11-10,Delivered
ITEM000124,ORD00064,CUST0493,P021,Data Science Handbook,Books,1,899,0,0.0,899.0,899.0,899.0,2023-10-01,Delivered
ITEM000125,ORD00064,CUST0493,P023,Classmate Notebook Pack,Books,2,199,0,0.0,199.0,398.0,398.0,2023-10-01,Delivered
ITEM000126,ORD00065,CUST0364,P036,Maggi Noodles 12 Pack,Grocery,1,192,5,9.6,182.4,182.4,182.4,2024-02-23,Delivered
ITEM000127,ORD00066,CUST0756,P049,Omron BP Monitor,Health,1,1999,25,499.75,1499.25,1499.25,1499.25,2024-08-10,Delivered
ITEM000128,ORD00067,CUST0150,P012,Biba Anarkali Suit,Clothing,1,2199,0,0.0,2199.0,2199.0,2199.0,2025-06-05,Delivered
ITEM000129,ORD00068,CUST0807,P036,Maggi Noodles 12 Pack,Grocery,1,192,10,19.2,172.8,172.8,172.8,2025-04-09,Delivered
ITEM000130,ORD00068,CUST0807,P005,HP 15s Laptop,Electronics,1,45999,10,4599.9,41399.1,41399.1,41399.1,2025-04-09,Delivered
ITEM000131,ORD00069,CUST0949,P038,Bata Men Formal Shoes,Footwear,2,1999,5,99.95,1899.05,3798.1,3798.1,2025-05-15,Delivered
ITEM000132,ORD00070,CUST0008,P009,Allen Solly Men Shirt,Clothing,2,1299,0,0.0,1299.0,2598.0,2598.0,2024-11-07,Shipped
ITEM000133,ORD00070,CUST0008,P008,Redmi Smart TV 32,Electronics,2,15999,0,0.0,15999.0,31998.0,31998.0,2024-11-07,Shipped
ITEM000134,ORD00071,CUST0840,P008,Redmi Smart TV 32,Electronics,1,15999,15,2399.85,13599.15,13599.15,13599.15,2025-03-24,Delivered
ITEM000135,ORD00071,CUST0840,P011,W Women Kurta Set,Clothing,1,1599,15,239.85,1359.15,1359.15,1359.15,2025-03-24,Delivered
ITEM000136,ORD00072,CUST0609,P003,boAt Rockerz 450,Electronics,2,1499,0,0.0,1499.0,2998.0,2998.0,2025-04-28,Delivered
ITEM000137,ORD00073,CUST0600,P031,Himalaya Face Wash,Beauty,1,179,0,0.0,179.0,179.0,179.0,2023-06-09,Cancelled
ITEM000138,ORD00073,CUST0600,P048,Patanjali Ashwagandha,Health,2,199,0,0.0,199.0,398.0,398.0,2023-06-09,Cancelled
ITEM000139,ORD00074,CUST0886,P039,Sparx Men Sports Shoes,Footwear,1,999,5,49.95,949.05,949.05,949.05,2025-01-16,Delivered
ITEM000140,ORD00075,CUST0836,P019,Bajaj Room Heater,Home & Kitchen,1,1599,10,159.9,1439.1,1439.1,1439.1,2023-03-20,Shipped
ITEM000141,ORD00075,CUST0836,P016,Philips HL7756 Mixer,Home & Kitchen,3,2799,10,279.9,2519.1,7557.3,7557.3,2023-03-20,Shipped
ITEM000142,ORD00075,CUST0836,P004,Zebronics Zeb-County,Electronics,2,799,10,79.9,719.1,1438.2,1438.2,2023-03-20,Shipped
ITEM000143,ORD00076,CUST0994,P048,Patanjali Ashwagandha,Health,2,199,5,9.95,189.05,378.1,378.1,2024-01-23,Delivered
ITEM000144,ORD00077,CUST0025,P039,Sparx Men Sports Shoes,Footwear,1,999,10,99.9,899.1,899.1,899.1,2025-12-25,Delivered
ITEM000145,ORD00078,CUST0129,P016,Philips HL7756 Mixer,Home & Kitchen,1,2799,10,279.9,2519.1,2519.1,2519.1,2024-10-05,Delivered
ITEM000146,ORD00079,CUST0196,P019,Bajaj Room Heater,Home & Kitchen,2,1599,0,0.0,1599.0,3198.0,3198.0,2025-05-07,Delivered
ITEM000147,ORD00079,CUST0196,P004,Zebronics Zeb-County,Electronics,3,799,0,0.0,799.0,2397.0,2397.0,2025-05-07,Delivered
ITEM000148,ORD00080,CUST0055,P044,Pepperfry Wall Clock,Furniture,1,599,0,0.0,599.0,599.0,599.0,2025-05-28,Delivered
ITEM000149,ORD00080,CUST0055,P015,Prestige Pressure Cooker 5L,Home & Kitchen,1,1899,0,0.0,1899.0,1899.0,1899.0,2025-05-28,Delivered
ITEM000150,ORD00080,CUST0055,P031,Himalaya Face Wash,Beauty,1,179,0,0.0,179.0,179.0,179.0,2025-05-28,Delivered
ITEM000151,ORD00080,CUST0055,P042,Fisher Price Baby Gym,Toys,1,1799,0,0.0,1799.0,1799.0,1799.0,2025-05-28,Delivered
ITEM000152,ORD00081,CUST0564,P047,Dabur Chyawanprash 1kg,Health,1,349,5,17.45,331.55,331.55,331.55,2024-11-15,Delivered
ITEM000153,ORD00082,CUST0067,P034,Aashirvaad Atta 5kg,Grocery,1,249,0,0.0,249.0,249.0,249.0,2024-12-12,Cancelled
ITEM000154,ORD00083,CUST0637,P002,Realme Narzo 60,Electronics,1,12999,15,1949.85,11049.15,11049.15,11049.15,2024-09-17,Delivered
ITEM000155,ORD00084,CUST0212,P007,Fire-Boltt Ninja Watch,Electronics,1,1999,5,99.95,1899.05,1899.05,1899.05,2024-06-04,Delivered
ITEM000156,ORD00084,CUST0212,P019,Bajaj Room Heater,Home & Kitchen,1,1599,5,79.95,1519.05,1519.05,1519.05,2024-06-04,Delivered
ITEM000157,ORD00085,CUST0461,P038,Bata Men Formal Shoes,Footwear,1,1999,0,0.0,1999.0,1999.0,1999.0,2025-03-07,Delivered
ITEM000158,ORD00085,CUST0461,P042,Fisher Price Baby Gym,Toys,2,1799,0,0.0,1799.0,3598.0,3598.0,2025-03-07,Delivered
ITEM000159,ORD00085,CUST0461,P003,boAt Rockerz 450,Electronics,1,1499,0,0.0,1499.0,1499.0,1499.0,2025-03-07,Delivered
ITEM000160,ORD00086,CUST0650,P018,Cello Plastic Storage Set,Home & Kitchen,3,499,5,24.95,474.05,1422.15,1422.15,2025-11-17,Delivered
ITEM000161,ORD00087,CUST0632,P032,Park Avenue Deo Combo,Beauty,1,399,0,0.0,399.0,399.0,0.0,2023-09-07,Returned
ITEM000162,ORD00087,CUST0632,P043,Nilkamal Plastic Chair,Furniture,1,899,0,0.0,899.0,899.0,0.0,2023-09-07,Returned
ITEM000163,ORD00088,CUST0907,P008,Redmi Smart TV 32,Electronics,3,15999,25,3999.75,11999.25,35997.75,35997.75,2023-11-18,Delivered
ITEM000164,ORD00088,CUST0907,P036,Maggi Noodles 12 Pack,Grocery,1,192,25,48.0,144.0,144.0,144.0,2023-11-18,Delivered
ITEM000165,ORD00088,CUST0907,P009,Allen Solly Men Shirt,Clothing,1,1299,25,324.75,974.25,974.25,974.25,2023-11-18,Delivered
ITEM000166,ORD00089,CUST0220,P004,Zebronics Zeb-County,Electronics,1,799,0,0.0,799.0,799.0,799.0,2025-10-09,Delivered
ITEM000167,ORD00090,CUST0820,P031,Himalaya Face Wash,Beauty,1,179,20,35.8,143.2,143.2,143.2,2025-12-04,Delivered
ITEM000168,ORD00091,CUST0623,P007,Fire-Boltt Ninja Watch,Electronics,1,1999,5,99.95,1899.05,1899.05,1899.05,2023-09-21,Delivered
ITEM000169,ORD00092,CUST0148,P032,Park Avenue Deo Combo,Beauty,3,399,20,79.8,319.2,957.6,957.6,2024-11-22,Delivered
ITEM000170,ORD00093,CUST0472,P001,Samsung Galaxy M34,Electronics,2,18999,5,949.95,18049.05,36098.1,36098.1,2024-11-17,Delivered
ITEM000171,ORD00093,CUST0472,P002,Realme Narzo 60,Electronics,1,12999,5,649.95,12349.05,12349.05,12349.05,2024-11-17,Delivered
ITEM000172,ORD00093,CUST0472,P013,Jockey Men T-Shirt,Clothing,1,599,5,29.95,569.05,569.05,569.05,2024-11-17,Delivered
ITEM000173,ORD00094,CUST0996,P045,Bosch Car Wiper Blade,Automotive,1,499,10,49.9,449.1,449.1,449.1,2025-12-18,Delivered
ITEM000174,ORD00094,CUST0996,P018,Cello Plastic Storage Set,Home & Kitchen,1,499,10,49.9,449.1,449.1,449.1,2025-12-18,Delivered
ITEM000175,ORD00094,CUST0996,P034,Aashirvaad Atta 5kg,Grocery,1,249,10,24.9,224.1,224.1,224.1,2025-12-18,Delivered
ITEM000176,ORD00095,CUST0382,P019,Bajaj Room Heater,Home & Kitchen,2,1599,5,79.95,1519.05,3038.1,3038.1,2024-11-08,Delivered
ITEM000177,ORD00096,CUST0264,P026,Nivia Football Size 5,Sports,3,899,25,224.75,674.25,2022.75,2022.75,2024-11-15,Delivered
ITEM000178,ORD00096,CUST0264,P025,Cosco Cricket Kit,Sports,1,2999,25,749.75,2249.25,2249.25,2249.25,2024-11-15,Delivered
ITEM000179,ORD00097,CUST0519,P025,Cosco Cricket Kit,Sports,2,2999,0,0.0,2999.0,5998.0,5998.0,2023-05-05,Shipped
ITEM000180,ORD00098,CUST0304,P031,Himalaya Face Wash,Beauty,1,179,10,17.9,161.1,161.1,161.1,2025-06-23,Delivered
ITEM000181,ORD00098,CUST0304,P017,Milton Thermosteel Flask,Home & Kitchen,1,699,10,69.9,629.1,629.1,629.1,2025-06-23,Delivered
ITEM000182,ORD00099,CUST0908,P001,Samsung Galaxy M34,Electronics,1,18999,0,0.0,18999.0,18999.0,18999.0,2023-09-15,Delivered
ITEM000183,ORD00100,CUST0069,P014,HRX Sports Tracksuit,Clothing,1,1799,15,269.85,1529.15,1529.15,1529.15,2024-05-10,Delivered
